TYPEID,TIME,ACTIVITYID
681,600,1
681,210,3
681,210,4
681,480,5
682,600,1
682,210,3
682,210,4
682,480,5
683,6000,1
683,2100,3
683,2100,4
683,4800,5
684,6000,1
684,2100,3
684,2100,4
684,4800,5
684,63900,8
685,6000,1
685,2100,3
685,2100,4
685,4800,5
685,63900,8
686,12000,1
686,4200,3
686,4200,4
686,9600,5
686,128100,8
687,12000,1
687,4200,3
687,4200,4
687,9600,5
687,128100,8
688,18000,1
688,6300,3
688,6300,4
688,14400,5
688,192000,8
689,6000,1
689,2100,3
689,2100,4
689,4800,5
689,63900,8
690,6000,1
690,2100,3
690,2100,4
690,4800,5
690,63900,8
691,6000,1
691,2100,3
691,2100,4
691,4800,5
691,63900,8
692,12000,1
692,4200,3
692,4200,4
692,9600,5
692,128100,8
693,18000,1
693,6300,3
693,6300,4
693,14400,5
693,192000,8
784,2340,1
784,819,3
784,819,4
784,1872,5
785,900,1
785,315,3
785,315,4
785,720,5
785,13800,8
786,900,1
786,315,3
786,315,4
786,720,5
786,13800,8
788,1800,1
788,630,3
788,630,4
788,1440,5
788,30900,8
790,2700,1
790,945,3
790,945,4
790,2160,5
790,51000,8
803,900,1
803,315,3
803,315,4
803,720,5
803,68100,8
804,900,1
804,315,3
804,315,4
804,720,5
804,68100,8
805,900,1
805,315,3
805,315,4
805,720,5
805,68100,8
806,900,1
806,315,3
806,315,4
806,720,5
806,68100,8
807,600,1
807,210,3
807,210,4
807,480,5
807,45600,8
808,600,1
808,210,3
808,210,4
808,480,5
808,45600,8
809,600,1
809,210,3
809,210,4
809,480,5
809,45600,8
810,600,1
810,210,3
810,210,4
810,480,5
810,45600,8
811,300,1
811,105,3
811,105,4
811,240,5
811,22800,8
812,300,1
812,105,3
812,105,4
812,240,5
812,22800,8
813,300,1
813,105,3
813,105,4
813,240,5
813,22800,8
814,300,1
814,105,3
814,105,4
814,240,5
814,22800,8
819,2700,1
819,945,3
819,945,4
819,2160,5
819,51000,8
820,900,1
820,315,3
820,315,4
820,720,5
820,13800,8
821,900,1
821,315,3
821,315,4
821,720,5
821,13800,8
822,900,1
822,315,3
822,315,4
822,720,5
822,13800,8
823,900,1
823,315,3
823,315,4
823,720,5
823,13800,8
824,1800,1
824,630,3
824,630,4
824,1440,5
824,30900,8
825,1800,1
825,630,3
825,630,4
825,1440,5
825,30900,8
826,1800,1
826,630,3
826,630,4
826,1440,5
826,30900,8
827,1800,1
827,630,3
827,630,4
827,1440,5
827,30900,8
828,1800,1
828,630,3
828,630,4
828,1440,5
828,30900,8
829,2700,1
829,945,3
829,945,4
829,2160,5
829,51000,8
830,2700,1
830,945,3
830,945,4
830,2160,5
830,51000,8
831,2700,1
831,945,3
831,945,4
831,2160,5
831,51000,8
832,2700,1
832,945,3
832,945,4
832,2160,5
832,51000,8
833,2700,1
833,945,3
833,945,4
833,2160,5
833,51000,8
834,900,1
834,315,3
834,315,4
834,720,5
834,13800,8
835,900,1
835,315,3
835,315,4
835,720,5
835,13800,8
836,900,1
836,315,3
836,315,4
836,720,5
836,13800,8
837,900,1
837,315,3
837,315,4
837,720,5
837,13800,8
838,900,1
838,315,3
838,315,4
838,720,5
838,13800,8
839,1800,1
839,630,3
839,630,4
839,1440,5
839,30900,8
840,1800,1
840,630,3
840,630,4
840,1440,5
840,30900,8
841,1800,1
841,630,3
841,630,4
841,1440,5
841,30900,8
842,1800,1
842,630,3
842,630,4
842,1440,5
842,30900,8
843,1800,1
843,630,3
843,630,4
843,1440,5
843,30900,8
844,2700,1
844,945,3
844,945,4
844,2160,5
844,51000,8
845,2700,1
845,945,3
845,945,4
845,2160,5
845,51000,8
846,2700,1
846,945,3
846,945,4
846,2160,5
846,51000,8
847,2700,1
847,945,3
847,945,4
847,2160,5
847,51000,8
848,2700,1
848,945,3
848,945,4
848,2160,5
848,51000,8
879,300,1
879,105,3
879,105,4
879,240,5
879,22800,8
880,300,1
880,105,3
880,105,4
880,240,5
880,22800,8
881,300,1
881,105,3
881,105,4
881,240,5
882,300,1
882,105,3
882,105,4
882,240,5
882,22800,8
883,300,1
883,105,3
883,105,4
883,240,5
883,22800,8
884,300,1
884,105,3
884,105,4
884,240,5
885,300,1
885,105,3
885,105,4
885,240,5
886,300,1
886,105,3
886,105,4
886,240,5
887,600,1
887,210,3
887,210,4
887,480,5
887,45600,8
888,600,1
888,210,3
888,210,4
888,480,5
888,45600,8
889,600,1
889,210,3
889,210,4
889,480,5
890,600,1
890,210,3
890,210,4
890,480,5
890,45600,8
891,600,1
891,210,3
891,210,4
891,480,5
891,45600,8
892,600,1
892,210,3
892,210,4
892,480,5
893,600,1
893,210,3
893,210,4
893,480,5
894,600,1
894,210,3
894,210,4
894,480,5
895,900,1
895,315,3
895,315,4
895,720,5
895,68100,8
896,900,1
896,315,3
896,315,4
896,720,5
896,68100,8
897,900,1
897,315,3
897,315,4
897,720,5
898,900,1
898,315,3
898,315,4
898,720,5
898,68100,8
899,900,1
899,315,3
899,315,4
899,720,5
899,68100,8
900,900,1
900,315,3
900,315,4
900,720,5
901,900,1
901,315,3
901,315,4
901,720,5
902,900,1
902,315,3
902,315,4
902,720,5
935,2100,3
935,2100,4
935,4800,5
936,6000,1
936,2100,3
936,2100,4
936,4800,5
936,63900,8
937,6000,1
937,2100,3
937,2100,4
937,4800,5
